country,category,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12
Cabo Verde,Health,-0.0038876280525793816,-0.004079564107712019,5.3544394399077187e-05,0.0027207275585521707,-0.0017604479983542305,0.0038921181633147124,0.0032572294962908903,0.004386106614169341,-0.005610733611090192,-4.3745142479083635e-05,0.008521288021998615,-0.002155893389121649
Cabo Verde,"Housing, water, electricity, gas and other fuels",0.023860952786953285,0.013021136716976089,-0.0028627888756535096,0.014360975477442764,0.019124288202576716,0.01106882575423546,0.006634693702966596,-0.008384215160907859,0.02947119446298828,-0.00913285555551438,0.02057998693513758,0.004079984168615353
Cabo Verde,Miscellaneous goods and services,-0.012002166685716104,-0.0034392757405594682,-0.008279471391994255,0.004847159981734733,-0.0011695902765104834,0.008284791142780148,0.0002771842668927325,0.005126662819261295,-0.006105760059367851,0.0027773758779108125,-0.010514255229971204,0.0019174520681357731
Cabo Verde,Recreation and culture,0.004691932423866748,0.0028205470653235873,0.013628110716237526,0.004006018668057548,0.0008931534100087748,0.0053890458754142796,0.0038604634096251543,-0.0015282133750443572,0.008087445867408252,-0.00026556353267086593,-0.0028885235786315416,0.003238976352270363
Cabo Verde,Restaurants and hotels,-0.008640397322745458,0.0018361020365055651,-0.00921338937733903,-0.0012547570160739915,0.000543616597396609,0.0001524976628820944,0.0025578925718714304,-0.00010330652473635425,0.008809691551746122,0.012457759855241066,-0.00912544025346439,0.009280282204094143
Cabo Verde,Transport,0.01900439326963553,0.03728492788532222,0.019307294199157898,0.027104445321982543,0.008748572722855544,0.016069293775794705,0.00963864603574464,0.01757082872796292,0.012522750804695648,0.0004128732165062498,-0.004942602325868524,0.012564674701993496
Cameroon,"Alcoholic beverages, tobacco and narcotics",-9.36212420671787e-05,-0.010302692498213153,-0.003049646939735037,-0.010792429389004174,-0.0040388637971835745,-0.0025070201232394226,-0.004869881690957995,-0.0005678827162188421,7.363327099625672e-05,0.0027062611041361734,0.0022589979011020367,-0.0006543576060772983
Cameroon,All Items,-0.0007491274142198516,0.002537329805509365,-0.00012079833321791949,-0.0005020236836090553,0.00015554788510239786,0.0008207902228307747,0.00028802672176761685,0.0016429113056538151,-0.0012726337869492076,0.004372590605793652,0.0011766971868318688,0.00295924241843612
Cameroon,Clothing and footwear,0.002101193177421327,0.0011299974283619377,0.0005980473436406873,0.006920511238948827,4.266589502478161e-05,0.0023345896633789874,-0.00011796675527890686,0.0031547816420871315,0.001784789470818965,0.001878597934074249,0.0008535664388314067,0.0006292913329917597
Cameroon,Communication,0.0015443280606052489,0.004106957053603657,-0.0018731887737888494,0.008460086295148234,-0.0009051778147178692,0.001451219364618136,0.0010628711462804161,0.003448729862396453,0.005208951725940723,0.001279763812692897,2.957900169281056e-05,0.002509837416580672
Cameroon,Education,-0.0011065904936179705,0.0009260895030283032,-0.0022929064195022185,0.006271479303247426,0.00172907426134791,0.001752593716044328,0.000753803298139288,-0.00047566187485227835,-0.0019360486722541917,-0.0038855219498126455,-0.0007780737420896456,-0.00296389293403538
Cameroon,Food and non-alcoholic beverages,0.0022318886513124124,0.006581737221598875,0.02216609207411241,-0.01417774983430065,0.0017349847725125558,0.0016263776327912532,-0.0005521818721553912,0.005364231062240589,-0.005840113135969587,0.012948602543101928,0.008429563405374062,0.0064950849672312325
Cameroon,"Furnishings, household equipment and routine household maintenance",0.001013803228854259,-0.0026422261941382425,0.007963203244299657,-0.006703821173452666,0.002305684795647726,5.951281425253178e-05,0.0005343777443319502,0.0022252304139355064,-0.000241261090785795,0.006051057939699588,0.004188813245305351,0.0032106580615673635
Cameroon,Health,0.005245152171669765,0.004899579298718395,-0.03205372950862983,0.014320667228918497,-0.0010707172264701626,0.00069223818391437,0.003196868855322688,-0.005992888880753376,0.006050650776006007,-0.010968478380156117,-0.004183776185067984,-0.0028130749616031483
Cameroon,"Housing, water, electricity, gas and other fuels",-0.005333117636128125,-0.003964965674723928,0.0037375837180512444,-0.005159557335695213,0.0007511599761624388,-0.0026404713675663317,0.004545500641845496,-6.28665898913805e-05,-0.0010230438555876582,-0.0029022187055213707,0.00359696343714218,-0.0009512090713743111
Cameroon,Miscellaneous goods and services,-3.253070135811765e-05,0.0023498695832489236,-0.01651408455633653,0.009213114214344263,-0.002147566289089067,-0.0010930351471980203,0.003409077128655511,-0.0012231260367009645,0.0033638799903280467,-0.005719397203960733,-0.0012103024277156159,0.0018002369590615834
Cameroon,Recreation and culture,0.0009443735310984019,-0.0008577163691643321,-0.0035153296064686745,0.0038911808012792003,0.003216149940213502,-0.0004409110469977093,-0.0005284721261414062,-0.001873622045327899,-0.0006626892738327409,-0.0038757681208010826,-0.00190895223821791,-0.000366066845048483
Cameroon,Restaurants and hotels,-0.004140247913366997,0.0010269825547195507,-0.0013511141699029774,-0.004714546952835102,-0.004204874513969769,-0.0008436782300132563,-0.0011752006655551385,0.0015586456455495322,0.0009866061775719707,0.005067897738144658,0.0031443561038018387,0.003420137736735397
Cameroon,Transport,-0.021590662861303803,0.0013678890605167723,0.025289783355648895,-0.026238663555866248,0.0011677630835588131,-0.011896624724129567,-0.002275980923261568,0.0033581200387175422,-0.014429697374709194,0.014093823226848955,-0.005169049933404192,0.012377495216114604
Central African Republic,All Items,0.0026735017165576505,0.0023645065518692098,-0.0015975434522004063,0.015885999773530394,-0.013362044868356538,0.01925659476516098,0.007171629720410458,0.012417725323832854,-0.004388626172373548,0.011711903903990014,-0.005598480613797135,0.010890057928182262
